basin,name,calwater22,minstor
3305400305,Cedar Creek,-9999,-9999
3305400401,Sulfur Creek,-9999,-9999
3305400403,Hawkins Lake,-9999,-9999
5510000000,undefined basin within SACRAMENTO DELTA,-9999,-9999
5511100000,undefined basin within Elmira,-9999,-9999
5511200000,undefined basin within Lower Putah Creek,-9999,-9999
5512210000,undefined basin within Berryessa,-9999,-9999
5512220101,Smittie Creek,-9999,-9999
5512220102,Moskowite Reservoir,-9999,-9999
5512220103,Trout Creek,-9999,-9999
5512220201,Markley Canyon,-9999,-9999
5512220202,Steel Canyon,-9999,-9999
5512220203,Wragg Canyon,-9999,-9999
5512230001,Jackson Creek,-9999,-9999
5512230002,Gosling Canyon,-9999,-9999
5512230003,Anderson Canyon,-9999,-9999
5512240101,Swartz Creek,-9999,-9999
5512240102,Pope Canyon,-9999,-9999
5512240103,James Creek,-9999,-9999
5512240201,Upper Maxwell Creek,-9999,-9999
5512240202,Hardin Creek,-9999,-9999
5512240203,Lower Maxwell Creek,-9999,-9999
5512240204,Burton Creek,-9999,-9999
5512250000,undefined basin within Berryessa,-9999,-9999
5512260000,undefined basin within Berryessa,-9999,-9999
5512270001,Zim Zim Creek,-9999,-9999
5512270002,Adams Creek,-9999,-9999
5512270003,Toll Canyon,-9999,-9999
5512270004,Knoxville Creek,-9999,-9999
5512300101,Anderson Creek,-9999,-9999
5512300102,Hoodoo Creek,-9999,-9999
5512300103,St. Helena Creek,-9999,-9999
5512300104,Van Ness Creek,-9999,-9999
5512300402,John Thomas Creek,-9999,-9999
5512300403,Hunting Creek,-9999,-9999
5512300503,Butcherknife Creek,-9999,-9999
5512300504,Mysterious Creek,-9999,-9999
5512300509,Upper Bucksnort Creek,-9999,-9999
5512300600,undefined basin within Butts Creek,-9999,-9999
5513310000,undefined basin within Middle Cache Creek,-9999,-9999
5513320102,Davis Creek,-9999,-9999
5513550101,High Valley Creek,-9999,-9999
5513550103,Upper Kelsey Creek,-9999,-9999
5560100001,Mix Canyon,-9999,-9999
5560100002,Ulatis Creek,-9999,-9999
5560100003,S. Fork English Creek,-9999,-9999
5560100004,Laguna Creek,-9999,-9999
5560200001,Wild Horse Canyon,-9999,-9999
5560200002,Bray Canyon,-9999,-9999
5560200003,Enos Creek,-9999,-9999
5560200004,Pine Creek,-9999,-9999
5560200005,Cottonwood Creek,-9999,-9999
5560200006,Pleasants Creek,-9999,-9999
5560300001,Brick Chimney Canyon,-9999,-9999
5560300002,Carey Canyon,-9999,-9999
5560300003,Casey Flats,-9999,-9999
5560300004,Cross Canyon,-9999,-9999
5560300006,Fiske Canyon,-9999,-9999
6542100102,Cedar Knob,-9999,-9999
6542100301,Peach Tree Creek,-9999,-9999
6542100305,Deer Park Canyon,-9999,-9999
6542200101,Red Creek,-9999,-9999
6542200102,Robinson Creek,-9999,-9999
6542200103,Lion Canyon,-9999,-9999
6542200104,Hartman Creek,-9999,-9999
6542200202,Sheep Thief Creek,-9999,-9999
6542200203,Lions Canyon,-9999,-9999
6542200406,Mustang Canyon,-9999,-9999
6542310102,Upper Quinto Creek,-9999,-9999
6542310202,Williams Canyon,-9999,-9999
6542310303,La Baig Spring,-9999,-9999
6542310304,O'Connells Spring,-9999,-9999
6542310401,Hidden Creek,-9999,-9999
6542310403,Spicer Creek,-9999,-9999
6543000101,Deer Creek,-9999,-9999
6543000102,Sand Creek,-9999,-9999
6543000103,Markley Canyon,-9999,-9999
6543000104,Prewett Park,-9999,-9999
6543000201,Long Canyon,-9999,-9999
6543000202,Briones Valley,-9999,-9999
6543000203,Sycamore Creek,-9999,-9999
6543000204,Curry Canyon,-9999,-9999
6543000301,Lower Kellogg Creek,-9999,-9999
6543000302,Brushy Creek,-9999,-9999
6543000303,Altamont Speedway,-9999,-9999
6543000304,Upper Kellogg Creek,-9999,-9999
6543000401,Mountain House Creek,-9999,-9999
6543000402,Mountain House,-9999,-9999
6543000403,Bethany Reservoir,-9999,-9999
6543000404,SE of Midway,-9999,-9999
6543000405,Patterson Run,-9999,-9999
6543000501,Upper Corral Hollow Creek,-9999,-9999
6543000502,Mitchell Ravine,-9999,-9999
6543000503,Carnegie,-9999,-9999
6543000504,Upper Elk Ravine,-9999,-9999
6544000000,undefined basin within SAN JOAQUIN DELTA,-9999,-9999
6575000000,undefined basin within CARBONA,-9999,-9999
